"POKEID","POKELOCATION","POKENAME"
"095","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Tuesday. Onix can then be encountered in Ten Carat Hill.","Onix"
"096","Melemele Island: Route 2","Drowzee"
"097","Raise Drowzee to level 26, or Poni Island: Poni Plains","Hypno"
"098","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Krabby"
"099","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Kingler"
"100","Breed Electrode","Voltorb"
"101","Some can be found disguised as items in Team Rocket's Castle in Aether Paradise in the post-game.","Electrode"
"102","Poni Island: Exeggutor Island","Exeggcute"
"103","Use a Leaf Stone on Exeggcute, or Poni Island: Exeggutor Island","Exeggutor"
"104","Akala Island: Wela Volcano Park","Cubone"
"105","Evolves from Cubone at level 28. Cubone evolves into Alolan Marowak if leveled up to 28 or higher at night in Alola.","Marowak"
"106","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Hitmonlee"
"107","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Hitmonchan"
"108","Poni Island: Poni Gauntlet","Lickitung"
"109","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Koffing"
"110","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Weezing"
"111","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Sunday. Rhyhorn can then be encountered at Blush Mountain.","Rhyhorn"
"112","Raise Rhyhorn to level 42","Rhydon"
"113","Level up a Happiny that is holding an Oval Stone, or Poni Island: Shaking bushes in Poni Plains","Chansey"
"114","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tangela"
"115","Akala Island: Wela Volcano Park (rare). Also, when battling wild Cubone in Wela Volcano Park, there is a chance that Kangaskhan will appear if the pokémon calls for help.","Kangaskhan"
"116","Melemele Island: Use the QR Scanner's Island Scan on Melemele Island on a Wednesday. Horsea can then be encountered in Kala'e Bay.","Horsea"
"117","Raise Horsea to level 32","Seadra"
"118","Akala Island: Fishing in Brooklet Hill Ula'ula Island: Fishing in Malie Garden","Goldeen"
"119","Raise Goldeen to level 33, or Akala Island: When fishing in Brooklet Hill, there is a chance that Seaking will appear if the pokémon calls for help Ula'ula Island: When fishing in Malie Garden, there is a chance that Seaking will appear if the pokémon calls for help","Seaking"
"120","Akala Island: Fishing in Route 7, or in swirling sand in Hano Beach.","Staryu"
"121","Use a Water Stone on Staryu, or Akala Island: When fishing in Brooklet Hill or battling pokémon in swirling sand in Hano Beach, there is a chance that Starmie will appear if the pokémon calls for help","Starmie"
"122","Level up Mime Jr. that knows Mimic, which it learns at level 15. Or, Melemele Island: When battling pokémon in Hau'oli City Shopping District, there is a chance that Mr. Mime will appear if the pokémon calls for help","Mr. Mime"
"123","Poni Island: Shaking bushes in Poni Plains","Scyther"
"124","Raise Smoochum to level 30, or Melemele Island: When battling wild Smoochum in Seaward Cave, there is a chance that Jynx will appear if the pokémon calls for help","Jynx"
"125","Raise Elekid to level 30, or Ula'ula Island: When battling wild Elekid on Mount Hokulani or Blush Mountain, there is a chance that Electabuzz will appear if the pokémon calls for help.","Electabuzz"
"126","Raise Magby to level 30, or Akala Island: When battling wild Magby in Wela Volcano Park, there is a chance that Magmar will appear if the pokémon calls for help.","Magmar"
"127","Akala Island: Lush Jungle Poni Island: Exeggutor Island, Poni Grove","Pinsir"
"128","Akala Island: Paniola Ranch Poni Island: Poni Plains. Also, you can get a Tauros from the Punk Guy outside of the Battle Tree if you trade him a Bewear.","Tauros"
"129","Melemele Island: Fishing in Seaward Cave, Kala'e Bay, and Melemele Sea Akala Island: Fishing in Paniola Town, Brooklet Hill, Brooklet Hill Totem's Den, Route 7, Route 8, Route 9, and Akala Outskirts Ula'ula Island: Fishing in Malie Garden, Route 13 (south of Haina Desert), Route 14, and Route 15 Poni Island: Fishing in Seafolk Village, Poni Wilds, Vast Poni Canyon, Poni Gauntlet, Resolution Cave, and Poni Breaker Coast","Magikarp"
"130","Melemele Island: When battling wild Magikarp in Melemele Sea, Kala'e Bay, or Seaward Cave, there is a chance that Gyarados will appear if the pokémon calls for help Akala Island: When battling wild Magikarp in Akala Outskirts, Route 9, Paniola Town, Brooklet Hill, the Brooklet Hill Totem's Den, Route 8, or Route 7, there is a chance that Gyarados will appear if the pokémon calls for help Ula'ula Island: Malie Garden. Also, when battling wild Magikarp in Route 13 (south of Haina Desert), Route 14, or Route 15, there is a chance that Gyarados will appear if the pokémon calls for help Poni Island: When battling wild Magikarp in Seafolk Village, Vast Poni Canyon, Poni Breaker Coast, Resolution Cave, or Poni Gauntlet, there is a chance that Gyarados will appear if the pokémon calls for help","Gyarados"
"131","Poni Island: Can be encountered while riding a pokémon in the water in Poni Breaker Coast","Lapras"
"132","Akala Island: Talk to the police officers in the Route 9 police station to battle a Ditto. Afterward, more Dittos can be found posing as humans in Konikoni City. Ula'ula Island: Mount Hokulani","Ditto"
"133","Talk to the girl behind the counter at the Pokémon Nursery in Paniola Ranch to get an Eevee egg, or Akala Island: Route 4, Route 6","Eevee"
"134","Use a Water Stone on Eevee","Vaporeon"
"135","Use a Thunder Stone on Eevee","Jolteon"
"136","Use a Fire Stone on Eevee","Flareon"
"137","Ula'ula Island: After completing the main game, receive Porygon from an Aether Employee in Aether House in Route 15","Porygon"
"138","Akala Island: Ultra Sun only: Purchase the Helix Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Omanyte"
"139","Raise Omanyte to level 40","Omastar"
"140","Ultra Moon only: Purchase the Dome Fossil from Olivia's shop in Konikoni City and revive it in the Fossil Restoration Center in Route 8.","Kabuto"
"141","Raise Kabuto to level 40","Kabutops"
"142","Poni Island: In Seafolk Village, go into the floating shop on a boat that is shaped like two Huntails. Talk to the Ace Trainer to get an Aerodactyl.","Aerodactyl"
"143","Level up Munchlax with high friendship, or Melemele Island: When battling wild Munchlax in Route 1, there is a chance that Snorlax will appear if the pokémon calls for help","Snorlax"
"144","Can be found in red wormholes in Ultra Space","Articuno"
"145","Can be found in red wormholes in Ultra Space","Zapdos"
"146","Can be found in red wormholes in Ultra Space","Moltres"
"147","Poni Island: Fishing in Poni Meadow, Poni Gauntlet","Dratini"
"148","Raise Dratini to level 30, or Poni Island: When battling Dratini in Resolution Cave or Poni Gauntlet, there is a chance that Dragonair will appear if the pokémon calls for help","Dragonair"
"149","Raise Dragonair to level 55, or Poni Island: When battling Dratini in Poni Gauntlet, there is a chance that Dragonite will appear if the pokémon calls for help","Dragonite"
"150","Can be found in green wormholes in Ultra Space","Mewtwo"
"151","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Mew"
"152","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Chikorita"
"153","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bayleef"
"154","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Meganium"
"155","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cyndaquil"
"156","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Quilava"
"157","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Typhlosion"
"158","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Totodile"
"159","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Croconaw"
"160","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Feraligatr"
"161","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Sentret"
"162","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Furret"
"163","Akala Island: Lush Jungle at night","Hoothoot"
"164","Raise Hoothoot to level 20, or Akala Island: When battling wild Hoothoot in Lush Jungle at night, there is a chance that Noctowl will appear if the pokémon calls for help","Noctowl"
"165","Melemele Island: Route 1 during the day","Ledyba"
"166","Raise Ledyba to level 18, or Ula'ula Island: Daytime only: Ula'ula Meadow, Route 10, Route 17 in green grass, Malie Garden, Route 11","Ledian"
"167","Melemele Island: Route 1 at night","Spinarak"
"168","Ula'ula Island: Night only: Ula'ula Meadow, Route 10, Route 11, Route 17 (green grass only), Malie Garden","Ariados"
"169","Level up Golbat with high friendship, or Akala Island: When battling pokémon in Lush Jungle, there is a chance that Crobat will appear if the pokémon calls for help Poni Island: When battling Golbat in Resolution Cave, there is a chance that Crobat will appear if the pokémon calls for help","Crobat"
"170","Akala Island: Fishing in Akala Outskirts and Route 8","Chinchou"
"171","Raise Chinchou to level 27, or Akala Island: When battling wild Chinchou in Route 8 or Akala Outskirts, there is a chance that Lanturn will appear if the pokémon calls for help","Lanturn"
"172","Melemele Island: Route 1","Pichu"
"173","Ula'ula Island: Mount Hokulani at night","Cleffa"
"174","Akala Island: Route 4 and Route 6 during the day","Igglybuff"
"175","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Togepi"
"176","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Togetic"
"177","Akala Island: Akala Outskirts during the day","Natu"
"178","Raise Natu to level 25 Akala Island: When battling wild Natu in Akala Outskirts during the day, there is a chance that Xatu will appear if the wild pokémon calls for help","Xatu"
"179","Akala Island: Paniola Ranch","Mareep"
"180","Raise Mareep to level 15","Flaaffy"
"181","Raise Flaaffy to level 30.","Ampharos"
"182","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Bellossom"
"183","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Marill"
"184","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Azumarill"
"185","Level up a Bonsly that knows Mimic, which it learns at level 15, or Melemele Island: When battling wild Bonsly in the area of Route 1 that is blocked by rocks, there is a chance that Sudowoodo will appear if the pokémon calls for help Akala Island: When battling wild pokémon in Route 5 or Lush Jungle, there is a chance that Sudowoodo will appear if the pokémon calls for help","Sudowoodo"
"186","Evolves from Poliwhirl when traded with King's Rock, which can be obtained by battling the principal of Trainers' School after completing the game. King's Rock is sometimes held by wild Slowbro, Hariyama, Poliwhirl, or Politoed. Or, Ula'ula Island: When battling Poliwhirl in Malie Garden in the grass at night when rain is in effect, there is a chance that Politoed will appear if the pokémon calls for help","Politoed"
"187","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Hoppip"
"188","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Skiploom"
"189","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Jumpluff"
"190","Poni Island: Can jump out of a shaking tree in northwest Poni Plains.","Aipom"
"191","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Sunkern"
"192","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Sunflora"
"193","Breed Yanmega","Yanma"
"194","Breed Quagsire","Wooper"
"195","Can be found in blue wormholes in Ultra Space","Quagsire"
"196","Level up Eevee with high friendship during the day, or Akala Island: When battling wild Eevee in Route 4 and Route 6 during the day, there is a chance that Espeon will appear if the pokémon calls for help","Espeon"
"197","Level up Eevee with high friendship at night, or Akala Island: When battling Eevee in Route 4 or Route 6 at night, there is a chance that Umbreon will appear if the pokémon calls for help","Umbreon"
"198","Melemele Island: Hau'oli Cemetery at night","Murkrow"
"199","Evolves from Slowpoke when traded while holding a King's Rock, which can be obtained by battling the principal of Trainers' School after completing the game. King's Rock is sometimes held by wild Slowbro, Hariyama, Poliwhirl, or Politoed. Or, Melemele Island: When battling wild Slowpoke in Kala'e Bay, there is a chance that Slowking will appear if the pokémon calls for help","Slowking"
"200","Poni Island: Poni Meadow at night","Misdreavus"
"201","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Unown"
"202","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Wobbuffet"
"203","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Girafarig"
"204","Ula'ula Island: Shaking trees in Route 10","Pineco"
"205","Raise Pineco to level 31","Forretress"
"206","Melemele Island: Shaking grass in Route 2","Dunsparce"
"207","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Gligar"
"208","Evolves from Onix when traded while holding a Metal Coat, which can be found in Poni Grove after completing the main game. Sometimes Metal Coats are held by wild Beldum, Skarmory, and Magnemite","Steelix"
"209","Breed Granbull","Snubbull"
"210","Raise Snubbull to level 23, or Poni Island: Poni Wilds, Ancient Poni Path, Poni Gauntlet","Granbull"
"211","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Qwilfish"
"212","Evolves from Scyther when traded while holding a Metal Coat. A Metal Coat can be found in Poni Grove after completing the main game. Sometimes Metal Coats are held by wild Beldum, Skarmory, and Magnemite","Scizor"
"213","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shuckle"
"214","Poni Island: Poni Grove","Heracross"
"215","Ula'ula Island: Mount Lanakila","Sneasel"
"216","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Teddiursa"
"217","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Ursaring"
"218","Breed Magcargo","Slugma"
"219","Can be found in yellow wormholes in Ultra Space","Magcargo"
"220","Ula'ula Island: Use the QR Scanner's Island Scan on Ula'ula Island on a Monday. Swinub can then be encountered in Tapu Village.","Swinub"
"221","Raise Swinub to level 33","Piloswine"
"222","Melemele Island: Fishing in Melemele Sea Akala Island: Fishing in Route 9 (south of Konikoni City)","Corsola"
"223","Melemele Island: Fishing in Melemele Sea and Kala'e Bay. When battling wild pokemon in Melemele Sea, Kala'e Bay, and Hau'oli City Beachfront, there is a chance that Remoraid will appear if the pokémon calls for help Akala Island: Fishing in Route 8. When battling wild pokémon in Route 8, there is a chance that Remoraid will appear if the pokémon calls for help","Remoraid"
"224","Raise Remoraid to level 25, or Melemele Island: When battling wild Remoraid in Melemele Sea or Kala'e Bay, there is a chance that Octillery will appear if the pokémon calls for help Akala Island: When battling wild Remoraid in Route 8, there is a chance that Octillery will appear if the pokémon calls for help","Octillery"
"225","Melemele Island: Melemele Meadow","Delibird"
"226","Level up Mantyke with a Remoraid in the party","Mantine"
"227","Ula'ula Island: Mount Hokulani, Route 10, Route 17 (hill area)","Skarmory"
"228","Breed Houndoom","Houndour"
"229","Ula'ula Island: Ultra Sun only: Route 12","Houndoom"
"230","Evolves from Seadra when traded while holding a Dragon Scale. You can get a Dragon Scale by completing the Kantonian Gym in Malie City, then entering it again and defeating Ryuki. Dragon Scales can also be purchased at the Battle Tree for 32 BP.","Kingdra"
"231","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Phanpy"
"232","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Donphan"
"233","Evolves from Porygon when traded while holding an Up-Grade, which can be obtained from an employee at Aether House in Route 15 on Ula'ula Island","Porygon2"
"234","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Stantler"
"235","Melemele Island: Route 2","Smeargle"
"236","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Tyrogue"
"237","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Hitmontop"
"238","Melemele Island: Seaward Cave","Smoochum"
"239","Ula'ula Island: Mount Hokulani, Blush Mountain","Elekid"
"240","Akala Island: Wela Volcano Park","Magby"
"241","Akala Island: Paniola Ranch Poni Island: Poni Plains","Miltank"
"242","Level up Chansey with high friendship, or Poni Island: When battling wild Chansey in Poni Plains, there is a chance that Blissey will appear if the pokémon calls for help.","Blissey"
"243","Ultra Sun only: Can be found in green wormholes in Ultra Space","Raikou"
"244","Ultra Moon only: Can be found in green wormholes in Ultra Space","Entei"
"245","Can be found in blue wormholes in Ultra Space if you have Entei and Raikou","Suicune"
"246","Akala Island: Digglet's Cave","Larvitar"
"247","Raise Larvitar to level 30","Pupitar"
"248","Raise Pupitar to level 55","Tyranitar"
"249","Ultra Moon only: Can be found in blue wormholes in Ultra Space","Lugia"
"250","Ultra Sun only: Can be found in red wormholes in Ultra Space","Ho-Oh"
"251","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Celebi"
"252","Breed Grovyle","Treecko"
"253","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Friday. Grovyle can then be encountered in Route 5.","Grovyle"
"254","Raise Sceptile to level 36","Sceptile"
"255","Breed Combusken","Torchic"
"256","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Tuesday. Combusken can then be encountered in Route 8.","Combusken"
"257","Raise Combusken to level 36","Blaziken"
"258","Breed Marshtomp","Mudkip"
"259","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Saturday. Marshtomp can then be encountered in Brooklet Hill.","Marshtomp"
"260","Raise Marshtomp to level 36","Swampert"
"261","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Poochyena"
"262","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Mightyena"
"263","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Zigzagoon"
"264","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Linoone"
"265","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Wurmple"
"266","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Silcoon"
"267","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Beautifly"
"268","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Cascoon"
"269","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Dustox"
"270","Breed Lombre or Ludicolo","Lotad"
"271","Can be found in blue wormholes in Ultra Space","Lombre"
"272","Use a Water Stone on Lombre","Ludicolo"
"273","Breed Nuzleaf","Seedot"
"274","Can be found in green wormholes in Ultra Space","Nuzleaf"
"275","Use a Leaf Stone on Shiftry","Shiftry"
"276","Breed Swellow","Taillow"
"277","Can be found in red wormholes in Ultra Space","Swellow"
"278","Melemele Island: Route 1 Hau'oli Outskirts, Kala'e Bay, Hau'oli City Shopping District, Hau'oli City Beachfront, Melemele Sea Akala Island: Route 5, Route 7, Route 8, Route 9, Hano Beach","Wingull"
"279","Ula'ula Island: Tapu Village, Route 14 (in water), Route 15 (in grass and water) Poni Island: Exeggutor Island, Poni Wilds, Ancient Poni Path, Poni Breaker Coast, Eastern Poni Plains, Poni Gauntlet","Pelipper"
"280","Akala Island: Use the QR Scanner's Island Scan on Akala Island on a Sunday. Ralts can then be encountered in Route 6.","Ralts"
"281","Raise Ralts to level 20","Kirlia"
"282","Raise Kirlia to level 30","Gardevoir"
"283","Akala Island: Brooklet Hill at night","Surskit"
"284","Raise Surskit to level 22, or Ula'ula Island: Malie Garden in the grass at night","Masquerain"
"285","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shroomish"
"286","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Breloom"
"287","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Slakoth"
"288","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Vigoroth"
"289","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Slaking"
"290","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Nincada"
"291","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Ninjask"
"292","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Shedinja"
"293","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Whismur"
"294","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Loudred"
"295","Not available in Ultra Sun or Ultra Moon: Trade it from another game","Exploud"
"296","Melemele Island: Route 2","Makuhita"
"297","Raise Makuhita to level 24, or Poni Island: Shaking grass in Poni Plains","Hariyama"
